k,variant,model,class_id,class_name,n_test,n_class,prevalence,average_precision,precision_at_default,recall_at_default,f1_at_default,best_f1,best_f1_threshold
1,k1-timestamp-897bf5bc1c,clean_initialization,0,Non-Blond_Hair,2115,1710,0.8085106382978723,0.9941993671657365,0.9770253929866989,0.9450292397660819,0.9607609988109393,0.9615832363213038,0.27345237135887146
1,k1-timestamp-897bf5bc1c,clean_initialization,1,Blond_Hair,2115,405,0.19148936170212766,0.9197896284974202,0.7960954446854663,0.9061728395061729,0.8475750577367206,0.8502304147465438,0.4951993525028229
1,k1-timestamp-897bf5bc1c,attacked_trained,0,Non-Blond_Hair,2115,1710,0.8085106382978723,0.9903666821618062,0.9631794272355347,0.9637426900584796,0.9634609763227127,0.9647398843930636,0.3837014436721802
1,k1-timestamp-897bf5bc1c,attacked_trained,1,Blond_Hair,2115,405,0.19148936170212766,0.9169731817044379,0.8465346534653465,0.8444444444444444,0.8454882571075402,0.8486352357320098,0.5228384137153625
2,k2-timestamp-box-d60481ea44,clean_initialization,0,Non-Blond_Hair,2115,1710,0.8085106382978723,0.9941670426836078,0.9764350453172206,0.9450292397660819,0.9604754829123329,0.9615271659324524,0.3733152151107788
2,k2-timestamp-box-d60481ea44,clean_initialization,1,Blond_Hair,2115,405,0.19148936170212766,0.918867838506468,0.7956521739130434,0.9037037037037037,0.846242774566474,0.8495981630309988,0.4834255874156952
2,k2-timestamp-box-d60481ea44,attacked_trained,0,Non-Blond_Hair,2115,1710,0.8085106382978723,0.9916925882526662,0.9616724738675958,0.968421052631579,0.965034965034965,0.9659586848996217,0.4868868589401245
2,k2-timestamp-box-d60481ea44,attacked_trained,1,Blond_Hair,2115,405,0.19148936170212766,0.9161239645925898,0.8625954198473282,0.837037037037037,0.849624060150376,0.8524590163934427,0.5131725072860718
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,0,Non-Blond_Hair,2115,1710,0.8085106382978723,0.9941509936216765,0.9770114942528736,0.9444444444444444,0.96045197740113,0.9615832363213038,0.2759321928024292
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,1,Blond_Hair,2115,405,0.19148936170212766,0.9175319041352785,0.7943722943722944,0.9061728395061729,0.8465974625144176,0.8479262672811061,0.4951993525028229
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,0,Non-Blond_Hair,2115,1710,0.8085106382978723,0.9922581095974377,0.9615160349854227,0.9643274853801169,0.9629197080291971,0.9664545980335453,0.3870471119880676
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,1,Blond_Hair,2115,405,0.19148936170212766,0.9224828489550105,0.8475,0.837037037037037,0.8422360248447205,0.849740932642487,0.6140701770782471
