k,variant,model,subgroup,n,positive_rate,accuracy,blond_precision,blond_recall
1,k1-timestamp-897bf5bc1c,clean_initialization,all,2115,0.19148936170212766,0.9375886524822695,0.7960954446854663,0.9061728395061729
1,k1-timestamp-897bf5bc1c,clean_initialization,timestamp_present,169,0.9171597633136095,0.9053254437869822,0.9929078014184397,0.9032258064516129
1,k1-timestamp-897bf5bc1c,clean_initialization,timestamp_absent,1946,0.12846865364850976,0.9403905447070915,0.709375,0.908
1,k1-timestamp-897bf5bc1c,clean_initialization,any_artifact_present,169,0.9171597633136095,0.9053254437869822,0.9929078014184397,0.9032258064516129
1,k1-timestamp-897bf5bc1c,clean_initialization,no_artifact_present,1946,0.12846865364850976,0.9403905447070915,0.709375,0.908
1,k1-timestamp-897bf5bc1c,attacked_trained,all,2115,0.19148936170212766,0.9408983451536643,0.8465346534653465,0.8444444444444444
1,k1-timestamp-897bf5bc1c,attacked_trained,timestamp_present,169,0.9171597633136095,0.893491124260355,0.9308176100628931,0.9548387096774194
1,k1-timestamp-897bf5bc1c,attacked_trained,timestamp_absent,1946,0.12846865364850976,0.9450154162384378,0.7918367346938775,0.776
1,k1-timestamp-897bf5bc1c,attacked_trained,any_artifact_present,169,0.9171597633136095,0.893491124260355,0.9308176100628931,0.9548387096774194
1,k1-timestamp-897bf5bc1c,attacked_trained,no_artifact_present,1946,0.12846865364850976,0.9450154162384378,0.7918367346938775,0.776
2,k2-timestamp-box-d60481ea44,clean_initialization,all,2115,0.19148936170212766,0.9371158392434988,0.7956521739130434,0.9037037037037037
2,k2-timestamp-box-d60481ea44,clean_initialization,timestamp_present,169,0.9171597633136095,0.8994082840236687,0.9928571428571429,0.896774193548387
2,k2-timestamp-box-d60481ea44,clean_initialization,timestamp_absent,1946,0.12846865364850976,0.9403905447070915,0.709375,0.908
2,k2-timestamp-box-d60481ea44,clean_initialization,any_artifact_present,352,0.5,0.9147727272727273,0.9345238095238095,0.8920454545454546
2,k2-timestamp-box-d60481ea44,clean_initialization,no_artifact_present,1763,0.1298922291548497,0.9415768576290414,0.7157534246575342,0.9126637554585153
2,k2-timestamp-box-d60481ea44,attacked_trained,all,2115,0.19148936170212766,0.9432624113475178,0.8625954198473282,0.837037037037037
2,k2-timestamp-box-d60481ea44,attacked_trained,timestamp_present,169,0.9171597633136095,0.9171597633136095,0.9607843137254902,0.9483870967741935
2,k2-timestamp-box-d60481ea44,attacked_trained,timestamp_absent,1946,0.12846865364850976,0.9455292908530318,0.8,0.768
2,k2-timestamp-box-d60481ea44,attacked_trained,any_artifact_present,352,0.5,0.9289772727272727,0.9415204678362573,0.9147727272727273
2,k2-timestamp-box-d60481ea44,attacked_trained,no_artifact_present,1763,0.1298922291548497,0.9461145774248441,0.8018018018018018,0.777292576419214
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,all,2115,0.19148936170212766,0.9371158392434988,0.7943722943722944,0.9061728395061729
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,timestamp_present,169,0.9171597633136095,0.8994082840236687,0.9859154929577465,0.9032258064516129
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,timestamp_absent,1946,0.12846865364850976,0.9403905447070915,0.709375,0.908
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,any_artifact_present,521,0.381957773512476,0.927063339731286,0.9086294416243654,0.8994974874371859
3,k3-timestamp-box-brightness-4e43dcbc70,clean_initialization,no_artifact_present,1594,0.12923462986198245,0.9404015056461732,0.7094339622641509,0.912621359223301
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,all,2115,0.19148936170212766,0.939952718676123,0.8475,0.837037037037037
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,timestamp_present,169,0.9171597633136095,0.9289940828402367,0.9673202614379085,0.9548387096774194
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,timestamp_absent,1946,0.12846865364850976,0.9409044193216856,0.7732793522267206,0.764
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,any_artifact_present,521,0.381957773512476,0.9347408829174664,0.9187817258883249,0.9095477386934674
3,k3-timestamp-box-brightness-4e43dcbc70,attacked_trained,no_artifact_present,1594,0.12923462986198245,0.9416562107904642,0.7783251231527094,0.7669902912621359
