k,epoch,train_loss,train_accuracy,train_f1,train_precision,train_recall,val_loss,val_accuracy,val_f1,val_precision,val_recall
1,1,0.3067,0.878,0.7778,0.7719,0.8538,0.2867,0.87,0.8283,0.7983,0.9001
1,2,0.3184,0.8653,0.7701,0.769,0.8507,0.6733,0.8889,0.8348,0.8193,0.8546
1,3,0.2197,0.9063,0.8097,0.7974,0.8738,0.2399,0.9182,0.8807,0.8582,0.9114
1,4,0.182,0.9286,0.8449,0.8348,0.8973,0.3715,0.9357,0.9019,0.891,0.9142
1,5,0.1891,0.9249,0.8358,0.8258,0.8901,0.1938,0.9102,0.8745,0.8444,0.9251
1,6,0.1885,0.9258,0.8386,0.8267,0.8933,0.3096,0.9201,0.8812,0.8634,0.9036
1,7,0.1796,0.9349,0.8479,0.8365,0.8949,0.2084,0.895,0.8558,0.8254,0.9121
1,8,0.1703,0.9307,0.8425,0.8315,0.8907,0.2913,0.9357,0.9016,0.8919,0.9124
1,9,0.184,0.9281,0.8396,0.8284,0.8916,0.326,0.9078,0.8634,0.8457,0.8861
1,10,0.1518,0.9371,0.8563,0.8412,0.9063,0.2739,0.9296,0.8939,0.8793,0.9113
1,11,0.148,0.9374,0.8568,0.8445,0.9045,0.2949,0.8884,0.8393,0.817,0.8722
1,12,0.1548,0.9369,0.8554,0.8454,0.8998,0.2854,0.9191,0.8828,0.8588,0.9164
1,13,0.1699,0.9339,0.8482,0.8367,0.8965,0.2523,0.9182,0.8809,0.8581,0.9123
1,14,0.1489,0.9384,0.8605,0.85,0.9067,0.2422,0.9064,0.8674,0.8401,0.9103
1,15,0.142,0.9434,0.8667,0.8532,0.9124,0.5226,0.9291,0.889,0.8876,0.8904
1,16,0.1456,0.9393,0.8576,0.8436,0.9074,0.326,0.9362,0.9,0.8989,0.9011
1,17,0.1412,0.9453,0.8678,0.857,0.9101,0.3502,0.905,0.8529,0.8479,0.8583
1,18,0.1288,0.9479,0.8701,0.8584,0.9119,0.2619,0.922,0.8837,0.8666,0.9048
